t,S,I,R
1,6152,1,0
2,6152,1,0
3,6150,3,0
4,6148,5,0
5,6140,12,1
6,6139,12,2
7,6127,22,4
8,6122,23,8
9,6119,23,11
10,6116,22,15
11,6101,33,19
12,6059,68,26
13,6058,58,37
14,6057,48,48
15,6056,41,56
16,6056,38,59
17,6025,63,65
18,6021,58,74
19,5994,76,83
20,5969,92,92
21,5928,116,109
22,5890,141,122
23,5884,130,139
24,5883,98,172
25,5877,87,189
26,5759,184,210
27,5493,420,240
28,5471,370,312
29,5467,320,366
30,5243,486,424
31,4565,1071,517
32,4152,1295,706
33,3704,1532,917
34,3661,1330,1162
35,3661,1113,1379
36,3088,1490,1575
37,3044,1276,1833
38,2985,1114,2054
39,2788,1098,2267
40,2778,939,2436
